PTX Hexadecimal Floating-Point Constants
================================================================================

Total unique constants: 7607
Total occurrences: 1224282

DOUBLE-PRECISION CONSTANTS (0d/0D + 16 hex digits):
--------------------------------------------------------------------------------
0d3FA55CF59CDC5D89: 16 occurrences
0d3FB5C5C218C775C9: 16 occurrences
0d3FAEFD18CF6EBB9C: 16 occurrences
0d3FB10682EDCB8D1B: 16 occurrences
0d3FB3B1DD3AC7FC96: 16 occurrences
0d3FB745CB459B54A6: 16 occurrences
0d3FBC71C741A0669F: 16 occurrences
0d3FC249249209112E: 16 occurrences
0d3FC99999999A06C1: 16 occurrences
0d3FD5555555555535: 16 occurrences
0d400921FB4D12D84A: 16 occurrences
0d405D000000000000: 16 occurrences
0d3FC99999A0000000: 16 occurrences
0d41F5B010A40AC85F: 16 occurrences
0d3DEFFFFF9B574DBC: 16 occurrences
0d4360000000000000: 15 occurrences
0d3F10000000000000: 15 occurrences
0d401921FB54442EEA: 15 occurrences
0d401921FB4D12D84A: 15 occurrences
0d3BC79CA10C924223: 15 occurrences
0d0010000000000000: 15 occurrences
0d436921F9F01B866E: 15 occurrences
0dBFA810624DD2F1AA: 15 occurrences
0dC020000000000000: 15 occurrences
0d4005BF0A8B145769: 15 occurrences
0d400921FAFC8B007A: 15 occurrences
0d4016914D24534248: 15 occurrences
0dBFA999999999999A: 15 occurrences
0d4042D97C7F3321D2: 15 occurrences
0d3FA1DF46A2529D3A: 15 occurrences
0d3FFFFFFFFFFFFFFF: 15 occurrences
0dBF91DF46A2529D3A: 15 occurrences
0d406921FB54442D18: 15 occurrences
0d3FE99999A0000000: 15 occurrences
0d3FA374BC60000000: 15 occurrences
0d3F6CAC0840000000: 15 occurrences
0d4049000000000000: 14 occurrences
0d3C7777D0FFDA0D24: 14 occurrences
0dBF847AE147AE147B: 14 occurrences
0d3FE6A09E667F3BCD: 14 occurrences
0d3FAAF286BCA1AF28: 14 occurrences
0dBF89AA066A819A9E: 14 occurrences
0d3FA8618618618619: 14 occurrences
0dBF72D204B4812D20: 14 occurrences
0dBF9041041041040F: 14 occurrences
0d3F6B6006D801B600: 14 occurrences
0d3F70410410410410: 14 occurrences
0d3F8C71C71C71C71D: 14 occurrences
0d3FA5555555555554: 14 occurrences
0d4005AE147AE147AE: 14 occurrences
0d3F40624DD2F1A9FC: 14 occurrences
0d2000000000000000: 14 occurrences
0d358DEE7A4AD4B81F: 14 occurrences
0d4A511B0EC57E649A: 14 occurrences
0dC079000000000000: 14 occurrences
0d3F9EB851EB851EB8: 13 occurrences
0d3FE6B851EB851EB8: 13 occurrences
0dC002666666666666: 13 occurrences
0d4002AAAAAAAAAAAB: 13 occurrences
0dC028000000000000: 13 occurrences
0d3FE4CCCCCCCCCCCD: 13 occurrences
0d3FE5555555555555: 13 occurrences
0d3E5AF86D8EBD13CD: 13 occurrences
0d3E21F4076ACD15B6: 13 occurrences
0d3E927E5092BA033D: 13 occurrences
0d3EC71DDE6C5F9DA1: 13 occurrences
0d3EFA01A018D034E6: 13 occurrences
0d3F2A01A01B3B6940: 13 occurrences
0d3F56C16C16C1B5DD: 13 occurrences
0d3F8111111110F74D: 13 occurrences
0d3FA555555555554D: 13 occurrences
0d3FC5555555555557: 13 occurrences
0d401921FB53C8D4F1: 13 occurrences
0dC01C000000000000: 13 occurrences
0dBCAA6A0D6F814637: 13 occurrences
0dBC9A6A0D6F814637: 13 occurrences
0d3FF40D931FF62706: 13 occurrences
0d40040D931FF62705: 13 occurrences
0dC016000000000000: 13 occurrences
0d3FF0E147AE147AE1: 13 occurrences
0d4029D70A3D70A3D7: 13 occurrences
0d3FD5555555555556: 13 occurrences
0d3FF4CCCCCCCCCCCD: 12 occurrences
0d3F6D41D41D41D41D: 12 occurrences
0d3FA3813813813814: 12 occurrences
0d3FBF95CC857F3062: 12 occurrences
0dBFC17FF73124653A: 12 occurrences
0d3FC2390A0CC93C1F: 12 occurrences
0dBFC5490F3D8AA50A: 12 occurrences
0d3FC999CD9BFFA567: 12 occurrences
0dBFD0000C9539B888: 12 occurrences
0d3FD55555318ABC87: 12 occurrences
0d3FFF5C28F5C28F5B: 12 occurrences
0d406573FAE561F648: 12 occurrences
0dC30C6BF520000000: 12 occurrences
0d3FF2000000000000: 12 occurrences
0d401F25E353F7CED9: 12 occurrences
0d3CD203AF9EE75616: 12 occurrences
0d4036000000000000: 12 occurrences
0d3FC5555560000000: 12 occurrences
0d3FB45F306DC9C883: 12 occurrences
0dC066800000000000: 12 occurrences
0d439A000000000000: 12 occurrences
0dC059000000000000: 12 occurrences
0dBF27F212AA75DD6D: 12 occurrences
0d3F810200D847E84C: 12 occurrences
0d4048C00000000000: 12 occurrences
